path,line_number,matched_phrase,context,classification,recommended_action
docs/current_mainline_v3_17.md,166,automatic peer review,**Safety framing:** All results are silver-label diagnostic only. Not gold. Not human-audited. Not SOTA. Not natural-distribution prevalence. Not a standalone classifier. Not automatic peer review....,safe_negation,Keep as-is (safe negation).
docs/current_mainline_v3_17_confidential.md,80,standalone detector,"- **Standalone viability is false.** At 1% prevalence (realistic for unfiltered corpora), FP/TP = 66.82. Every true positive comes with 66 false positives. This is unusable as a standalone detector.",safe_negation,Keep as-is (safe negation).
docs/current_mainline_v3_17_confidential.md,83,automatic peer reviewer,"The system is therefore positioned as a **conservative second-stage screener / review queue generator**, not a standalone classifier, not an automatic peer reviewer, and not a replacement for human...",safe_negation,Keep as-is (safe negation).
docs/current_mainline_v3_17_confidential.md,149,gold benchmark,- no gold benchmark claim,safe_negation,Keep as-is (safe negation).
docs/current_mainline_v3_17_confidential.md,150,human-audited,- no human-audited dataset claim,safe_negation,Keep as-is (safe negation).
docs/current_mainline_v3_17_confidential.md,151,SOTA,- no SOTA claim,safe_negation,Keep as-is (safe negation).
docs/current_mainline_v3_17_confidential.md,153,full shared-threshold CESE-OCN,- no full shared-threshold CESE-OCN validation claim,safe_negation,Keep as-is (safe negation).
docs/current_mainline_v3_17_confidential.md,154,automatic peer review,- no automatic peer review claim,safe_negation,Keep as-is (safe negation).
docs/current_mainline_v3_17_confidential.md,155,standalone detector,- no standalone detector claim,safe_negation,Keep as-is (safe negation).
docs/data_card_simclaim_eval.md,7,human-audited,"> diagnostic — **not** human-audited, **not** gold). This card is",safe_negation,Keep as-is (safe negation).
docs/data_card_simclaim_eval.md,22,human-audited,cites. Each record pairs a claim with evidence and a human-audited,legacy_section,Keep in legacy section.
docs/data_release_policy.md,14,human-audited,"- **Toy synthetic fixtures.** `data/toy/*.jsonl`, `data/pilot_template.jsonl`, and any synthetic data explicitly marked `paper_valid=False` / `result_scope=""pilot_diagnostic""`. These pass schema va...",safe_negation,Keep as-is (safe negation).
docs/data_versions.md,9,gold benchmark,## clean_v2 — pilot gold benchmark (NOT paper-ready),safe_negation,Keep as-is (safe negation).
docs/data_versions.md,25,gold benchmark,AI-preannotated candidate set，共 588 条。它不是 human-audited gold benchmark，,safe_negation,Keep as-is (safe negation).
docs/data_versions.md,25,human-audited,AI-preannotated candidate set，共 588 条。它不是 human-audited gold benchmark，,safe_negation,Keep as-is (safe negation).
docs/data_versions.md,54,gold benchmark,"- **NOT allowed as**: paper-ready test set, gold benchmark, sole training source",safe_negation,Keep as-is (safe negation).
docs/data_versions.md,65,gold benchmark,the audited subset may seed a gold benchmark,future_work,Keep as future work.
docs/data_versions.md,72,gold benchmark,directories and must not be merged into a single gold benchmark.,safe_negation,Keep as-is (safe negation).
docs/dataset_shortcut_risk_v1.md,97,gold benchmark,"external gold benchmark (e.g., SciFact, VitaminC). Without external",safe_negation,Keep as-is (safe negation).
docs/dataset_shortcut_risk_v1.md,141,gold benchmark,"- ""Not a gold benchmark; labels are silver...""",safe_negation,Keep as-is (safe negation).
docs/dataset_shortcut_risk_v1.md,145,Gold benchmark,"- ""Gold benchmark performance...""",safe_negation,Keep as-is (safe negation).
docs/dataset_shortcut_risk_v1.md,147,Human-audited,"- ""Human-audited results...""",safe_negation,Keep as-is (safe negation).
docs/dataset_shortcut_risk_v1.md,148,SOTA,"- ""SOTA performance...""",safe_negation,Keep as-is (safe negation).
docs/dataset_shortcut_risk_v1.md,176,human-audited,"silver-labeled, not human-audited)""",safe_negation,Keep as-is (safe negation).
docs/dataset_shortcut_risk_v1.md,189,SOTA,"5. **No SOTA claim**: ""This is not a SOTA result; it is a controlled",safe_negation,Keep as-is (safe negation).
docs/dataset_shortcut_risk_v1.md,189,SOTA,"5. **No SOTA claim**: ""This is not a SOTA result; it is a controlled",safe_negation,Keep as-is (safe negation).
docs/dataset_version_lock_v3_17.md,32,gold benchmark,- **Not** a gold benchmark.,safe_negation,Keep as-is (safe negation).
docs/dataset_version_lock_v3_17.md,33,human-audited,- **Not** a human-audited benchmark.,safe_negation,Keep as-is (safe negation).
docs/dataset_version_lock_v3_17.md,40,human-audited,"> labels are not gold or human-audited, and results should not be",safe_negation,Keep as-is (safe negation).
docs/dataset_version_lock_v3_17.md,171,human-audited,2. **Not human-audited.** `human_audited=False` for all 444 rows. The,safe_negation,Keep as-is (safe negation).
docs/how_to_upgrade_to_paper_full.md,34,human-audited,1. Expanding the human-audited sample to at least 300 adjudicated items,future_work,Keep as future work.
docs/human_audit_protocol_v1.md,6,gold benchmark,diagnostic candidate pool. The audit is **not** a gold benchmark and must not be,safe_negation,Keep as-is (safe negation).
docs/human_audit_protocol_v1.md,26,gold benchmark,- Not a gold benchmark.,safe_negation,Keep as-is (safe negation).
docs/human_audit_protocol_v1.md,154,human-audited,"states ""audit packet prepared; audit not yet executed"" and ""no human-audited",safe_negation,Keep as-is (safe negation).
docs/human_audit_protocol_v1.md,163,gold benchmark,"**This is a targeted audit protocol, not a gold benchmark.** Until the audit is",safe_negation,Keep as-is (safe negation).
docs/human_audit_protocol_v1.md,164,human-audited,"completed, the paper can only claim audit readiness, not human-audited",safe_negation,Keep as-is (safe negation).
docs/human_audit_protocol_v1.md,173,gold benchmark,"- ""small targeted audit, not a gold benchmark""",safe_negation,Keep as-is (safe negation).
docs/human_audit_protocol_v1.md,180,gold benchmark,"- ""gold benchmark""",safe_negation,Keep as-is (safe negation).
docs/human_audit_protocol_v1.md,183,SOTA,"- ""SOTA""",safe_negation,Keep as-is (safe negation).
docs/next_phase_benchmark_plan.md,31,Human-audited,| Human-audited | 0 | 100% of test + 30% of train (stratified) | Adjudicated gold for every reported number |,future_work,Keep as future work.
docs/paper_outline_v3_17_confidential.md,35,gold benchmark,gold benchmark.,safe_negation,Keep as-is (safe negation).
docs/paper_outline_v3_17_confidential.md,48,gold benchmark,"The abstract must **not** contain: gold benchmark, SOTA, automatic",safe_negation,Keep as-is (safe negation).
docs/paper_outline_v3_17_confidential.md,48,SOTA,"The abstract must **not** contain: gold benchmark, SOTA, automatic",safe_negation,Keep as-is (safe negation).
docs/paper_outline_v3_17_confidential.md,82,gold benchmark,"- **Not** a gold benchmark, SOTA detector, automatic peer reviewer, or",safe_negation,Keep as-is (safe negation).
docs/paper_outline_v3_17_confidential.md,82,SOTA,"- **Not** a gold benchmark, SOTA detector, automatic peer reviewer, or",safe_negation,Keep as-is (safe negation).
docs/paper_outline_v3_17_confidential.md,82,automatic peer reviewer,"- **Not** a gold benchmark, SOTA detector, automatic peer reviewer, or",safe_negation,Keep as-is (safe negation).
docs/paper_outline_v3_17_confidential.md,109,gold benchmark,"- **Not** a gold benchmark, not human-audited, not natural prevalence.",safe_negation,Keep as-is (safe negation).
docs/paper_outline_v3_17_confidential.md,109,human-audited,"- **Not** a gold benchmark, not human-audited, not natural prevalence.",safe_negation,Keep as-is (safe negation).
docs/paper_outline_v3_17_confidential.md,137,standalone detector,router — **not** a standalone detector.,safe_negation,Keep as-is (safe negation).
docs/paper_outline_v3_17_confidential.md,259,gold benchmark,"- ""gold benchmark"" — dataset is silver",safe_negation,Keep as-is (safe negation).
docs/paper_outline_v3_17_confidential.md,260,human-audited,"- ""human-audited benchmark"" — human_audited=False for all rows",safe_negation,Keep as-is (safe negation).
docs/paper_outline_v3_17_confidential.md,261,SOTA,"- ""SOTA"" / ""state-of-the-art"" — not SOTA",safe_negation,Keep as-is (safe negation).
docs/paper_outline_v3_17_confidential.md,261,SOTA,"- ""SOTA"" / ""state-of-the-art"" — not SOTA",safe_negation,Keep as-is (safe negation).
docs/paper_outline_v3_17_confidential.md,261,state-of-the-art,"- ""SOTA"" / ""state-of-the-art"" — not SOTA",safe_negation,Keep as-is (safe negation).
docs/paper_outline_v3_17_confidential.md,262,automatic peer reviewer,"- ""automatic peer reviewer"" — not automatic peer review",safe_negation,Keep as-is (safe negation).
docs/paper_outline_v3_17_confidential.md,262,automatic peer review,"- ""automatic peer reviewer"" — not automatic peer review",safe_negation,Keep as-is (safe negation).
docs/paper_outline_v3_17_confidential.md,272,human-audited,"> labels are not gold or human-audited, and results should not be",safe_negation,Keep as-is (safe negation).
docs/paper_v2_reproduction_path.md,16,gold benchmark,"The V2 manuscript is a silver-label pilot paper. It is **not** a gold benchmark, **not** a human-audited dataset paper, and **not** a completed full CESE-OCN neural architecture paper.",safe_negation,Keep as-is (safe negation).
docs/paper_v2_reproduction_path.md,16,human-audited,"The V2 manuscript is a silver-label pilot paper. It is **not** a gold benchmark, **not** a human-audited dataset paper, and **not** a completed full CESE-OCN neural architecture paper.",safe_negation,Keep as-is (safe negation).
docs/paper_v2_reproduction_path.md,42,human-audited,- silver only; not gold; not human-audited,safe_negation,Keep as-is (safe negation).
docs/paper_v2_reproduction_path.md,93,gold benchmark,- Do not claim gold benchmark.,safe_negation,Keep as-is (safe negation).
docs/paper_v2_reproduction_path.md,94,human-audited,- Do not claim human-audited dataset.,safe_negation,Keep as-is (safe negation).
docs/paper_v2_reproduction_path.md,95,SOTA,- Do not claim SOTA.,safe_negation,Keep as-is (safe negation).
docs/pdf_extraction_stress_test_v1.md,12,SOTA,SOTA benchmark.,safe_negation,Keep as-is (safe negation).
docs/pdf_extraction_stress_test_v1.md,214,SOTA,"extraction robustness test, not SOTA.""",safe_negation,Keep as-is (safe negation).
docs/pdf_extraction_stress_test_v1.md,250,SOTA,"| `tests/test_pdf_stress_summary_exists.py` | Summary exists, disclaims SOTA, mentions robustness/OCR/synthetic/confidentiality |",safe_negation,Keep as-is (safe negation).
docs/result_narrative_freeze_v3_17.md,15,SOTA,- No SOTA / general detector / automatic peer reviewer claims.,safe_negation,Keep as-is (safe negation).
docs/result_narrative_freeze_v3_17.md,15,automatic peer reviewer,- No SOTA / general detector / automatic peer reviewer claims.,safe_negation,Keep as-is (safe negation).
docs/result_narrative_freeze_v3_17.md,29,SOTA,- **Not supported interpretation:** BM25 is SOTA for scientific claim,safe_negation,Keep as-is (safe negation).
docs/result_narrative_freeze_v3_17.md,141,SOTA,detector; R4 achieves SOTA on simulation claim screening; the F1,safe_negation,Keep as-is (safe negation).
docs/result_narrative_freeze_v3_17.md,159,standalone detector,the queue acting as a standalone detector (not supported);,safe_negation,Keep as-is (safe negation).
docs/result_narrative_freeze_v3_17.md,188,gold benchmark,all possible attacks; the dataset is a gold benchmark; the PASS,safe_negation,Keep as-is (safe negation).
docs/result_narrative_freeze_v3_17.md,247,human-audited,- **Not supported interpretation:** The dataset is human-audited;,safe_negation,Keep as-is (safe negation).
docs/result_narrative_freeze_v3_17.md,253,SOTA,"## Result R13 — PDF extraction stress test (robustness, not SOTA)",safe_negation,Keep as-is (safe negation).
docs/result_narrative_freeze_v3_17.md,263,SOTA,SOTA claim.,safe_negation,Keep as-is (safe negation).
docs/result_narrative_freeze_v3_17.md,264,SOTA,- **Not supported interpretation:** The extractor is SOTA on,safe_negation,Keep as-is (safe negation).
docs/result_narrative_freeze_v3_17.md,275,gold benchmark,"- ""gold benchmark"" — `human_audited=False` for all rows",safe_negation,Keep as-is (safe negation).
docs/result_narrative_freeze_v3_17.md,276,human-audited,"- ""human-audited benchmark"" — no full human audit completed",safe_negation,Keep as-is (safe negation).
docs/result_narrative_freeze_v3_17.md,277,SOTA,"- ""SOTA"" / ""state-of-the-art"" — no shared-benchmark comparison",safe_negation,Keep as-is (safe negation).
docs/result_narrative_freeze_v3_17.md,277,state-of-the-art,"- ""SOTA"" / ""state-of-the-art"" — no shared-benchmark comparison",safe_negation,Keep as-is (safe negation).
docs/result_narrative_freeze_v3_17.md,278,automatic peer reviewer,"- ""automatic peer reviewer"" — pipeline produces a review queue,",safe_negation,Keep as-is (safe negation).
docs/result_narrative_freeze_v3_17.md,279,automatic peer review,not automatic peer review,safe_negation,Keep as-is (safe negation).
docs/result_narrative_freeze_v3_17.md,289,human-audited,"> labels are not gold or human-audited, and results should not be",safe_negation,Keep as-is (safe negation).
docs/reviewer_response_playbook_v3_17.md,17,gold benchmark,"> review. It is **not** a gold benchmark, SOTA detector, or automatic",safe_negation,Keep as-is (safe negation).
docs/reviewer_response_playbook_v3_17.md,17,SOTA,"> review. It is **not** a gold benchmark, SOTA detector, or automatic",safe_negation,Keep as-is (safe negation).
docs/reviewer_response_playbook_v3_17.md,30,gold benchmark,"We acknowledge the dataset is a controlled silver diagnostic set, not a gold benchmark. Labels are AI-preannotated (annotation_status=ai_preannotated, human_audited=False for all 444 rows). We miti...",safe_negation,Keep as-is (safe negation).
docs/reviewer_response_playbook_v3_17.md,72,gold benchmark,"We acknowledge the human audit is not complete. The protocol (2-annotator independent review + adjudication) and seed queue (111 redacted candidates) are in place, but auditor labels are pending. W...",safe_negation,Keep as-is (safe negation).
docs/reviewer_response_playbook_v3_17.md,92,full shared-threshold CESE-OCN,"We explicitly state there is no full shared-threshold CESE-OCN validation in V3.17; the full architecture is future work, not the current claim. The current claim is the V3.17 Confidential Lightwei...",safe_negation,Keep as-is (safe negation).
docs/reviewer_response_playbook_v3_17.md,147,SOTA,"**Safe response:** We test PDF extraction robustness with 12 synthetic stress documents covering multi-column, table-heavy, scanned-image, math-heavy, and mixed-layout cases. The stress test report...",safe_negation,Keep as-is (safe negation).
docs/reviewer_response_playbook_v3_17.md,159,general scientific overstatement detector,**Safe response:** We explicitly state the system is NOT a general scientific overstatement detector. It is a simulation/confidential local review queue for the retrieval-to-screening format-shift ...,safe_negation,Keep as-is (safe negation).
docs/reviewer_response_playbook_v3_17.md,181,gold benchmark,"- ""Our gold benchmark shows..."" (dataset is silver, not gold)",safe_negation,Keep as-is (safe negation).
docs/reviewer_response_playbook_v3_17.md,183,SOTA,"- ""State-of-the-art detector..."" (not SOTA)",safe_negation,Keep as-is (safe negation).
docs/reviewer_response_playbook_v3_17.md,183,State-of-the-art,"- ""State-of-the-art detector..."" (not SOTA)",safe_negation,Keep as-is (safe negation).
docs/reviewer_response_playbook_v3_17.md,184,Automatic peer review,"- ""Automatic peer review..."" (not automatic peer review)",safe_negation,Keep as-is (safe negation).
docs/reviewer_response_playbook_v3_17.md,184,automatic peer review,"- ""Automatic peer review..."" (not automatic peer review)",safe_negation,Keep as-is (safe negation).
docs/reviewer_response_playbook_v3_17.md,195,gold benchmark,"- ""Small targeted audit (not a gold benchmark)...""",safe_negation,Keep as-is (safe negation).
docs/reviewer_risk_register_v3_17.md,47,gold benchmark,"- **safe_response:** We acknowledge the dataset is a controlled silver diagnostic set, not a gold benchmark. Labels are AI-preannotated (annotation_status=ai_preannotated, human_audited=False for a...",safe_negation,Keep as-is (safe negation).
docs/reviewer_risk_register_v3_17.md,121,gold benchmark,"- **safe_response:** We acknowledge the human audit is not complete. The protocol (2-annotator independent review + adjudication) and seed queue (111 redacted candidates) are in place, but auditor ...",safe_negation,Keep as-is (safe negation).
docs/reviewer_risk_register_v3_17.md,136,SOTA,"- **safe_response:** We test PDF extraction robustness with 12 synthetic stress documents covering multi-column, table-heavy, scanned-image, math-heavy, and mixed-layout cases. The stress test repo...",safe_negation,Keep as-is (safe negation).
docs/reviewer_risk_register_v3_17.md,151,general scientific overstatement detector,- **safe_response:** We explicitly state the system is NOT a general scientific overstatement detector. It is a simulation/confidential local review queue for the retrieval-to-screening format-shif...,safe_negation,Keep as-is (safe negation).
docs/reviewer_risk_register_v3_17.md,180,full shared-threshold CESE-OCN,"- **safe_response:** We explicitly state there is no full shared-threshold CESE-OCN validation in V3.17; the full architecture is future work, not the current claim. The current claim is the V3.17 ...",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,16,gold benchmark,"| Project type | controlled silver diagnostic study | gold benchmark study / validated detector study | ""This work is a controlled silver diagnostic study of retrieval-to-screening format shift for...",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,17,gold benchmark,"| Dataset | source-traceable silver set | gold-standard dataset / human-verified benchmark | ""The 444-candidate dataset is a source-traceable silver diagnostic with `human_audited=False`; it is not...",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,18,standalone detector,"| Pipeline output | second-stage review queue | automatic detector / standalone detector | ""The pipeline produces a second-stage review queue that augments human review; it is not a standalone auto...",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,19,SOTA,"| Research contribution | retrieval-to-screening format shift analysis | SOTA claim / SOTA retrieval / SOTA screening / state-of-the-art system | ""We analyze retrieval-to-screening format shift and...",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,19,SOTA,"| Research contribution | retrieval-to-screening format shift analysis | SOTA claim / SOTA retrieval / SOTA screening / state-of-the-art system | ""We analyze retrieval-to-screening format shift and...",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,19,SOTA,"| Research contribution | retrieval-to-screening format shift analysis | SOTA claim / SOTA retrieval / SOTA screening / state-of-the-art system | ""We analyze retrieval-to-screening format shift and...",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,19,state-of-the-art,"| Research contribution | retrieval-to-screening format shift analysis | SOTA claim / SOTA retrieval / SOTA screening / state-of-the-art system | ""We analyze retrieval-to-screening format shift and...",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,29,gold benchmark,"> review. It is not a gold benchmark, SOTA detector, or automatic",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,29,SOTA,"> review. It is not a gold benchmark, SOTA detector, or automatic",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,63,SOTA,"- **Unsafe**: ""We solve the retrieval problem."" / ""BM25 is SOTA for",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,92,gold benchmark,"| U1 | ""This is a gold benchmark."" | All rows have `human_audited=False`; `gold_label` is empty. Silver diagnostic only. | ""This is a controlled silver diagnostic, not a gold benchmark."" |",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,92,gold benchmark,"| U1 | ""This is a gold benchmark."" | All rows have `human_audited=False`; `gold_label` is empty. Silver diagnostic only. | ""This is a controlled silver diagnostic, not a gold benchmark."" |",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,93,human-audited,"| U2 | ""This is a human-audited dataset."" | No full human audit has been completed. Only a small targeted audit protocol exists. | ""The dataset is silver-label; a small targeted human audit protoco...",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,94,SOTA,"| U3 | ""The pipeline achieves SOTA on simulation claim overclaim detection."" | No comparison to other systems on a shared benchmark; silver diagnostic, not gold. | ""On the controlled silver diagnos...",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,94,SOTA,"| U3 | ""The pipeline achieves SOTA on simulation claim overclaim detection."" | No comparison to other systems on a shared benchmark; silver diagnostic, not gold. | ""On the controlled silver diagnos...",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,95,automatic peer review,"| U4 | ""The pipeline performs automatic peer review."" | Pipeline produces a review queue for human reviewers; it does not perform peer review automatically. | ""The pipeline produces a second-stage ...",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,95,automatic peer reviewer,"| U4 | ""The pipeline performs automatic peer review."" | Pipeline produces a review queue for human reviewers; it does not perform peer review automatically. | ""The pipeline produces a second-stage ...",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,97,standalone detector,"| U6 | ""The system is a standalone detector."" | At realistic prevalence (1%), FP/TP = 66.82 — unusable as a standalone detector. | ""The system is a second-stage review queue generator, not a standa...",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,97,standalone detector,"| U6 | ""The system is a standalone detector."" | At realistic prevalence (1%), FP/TP = 66.82 — unusable as a standalone detector. | ""The system is a second-stage review queue generator, not a standa...",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,97,standalone detector,"| U6 | ""The system is a standalone detector."" | At realistic prevalence (1%), FP/TP = 66.82 — unusable as a standalone detector. | ""The system is a second-stage review queue generator, not a standa...",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,98,general scientific overstatement detector,"| U7 | ""The system is a general scientific overstatement detector."" | The system is specific to simulation claims in the silver diagnostic domain, not a general-purpose detector. | ""The system addr...",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,112,Full shared-threshold CESE-OCN,"| Full CESE-OCN | ""Full shared-threshold CESE-OCN neural architecture (future work, not current empirical claim)"" | ""Full CESE-OCN is validated."" |",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,113,human-audited,"| Human audit | ""A small targeted human audit protocol exists (future work, not yet completed)"" | ""The dataset is human-audited."" |",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,114,Gold benchmark,"| Gold labels | ""Gold labels are future work; current labels are silver (`human_audited=False`)"" | ""Gold benchmark."" |",safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,127,human-audited,3. A clear statement that V2 / full CESE-OCN / gold / human-audited /,safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,128,SOTA,SOTA / automatic peer review are **not** claimed.,safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,128,automatic peer review,SOTA / automatic peer review are **not** claimed.,safe_negation,Keep as-is (safe negation).
docs/safe_claims_dictionary_v3_17.md,130,current paper V2,"The README MUST NOT contain ""current paper V2"" or ""current manuscript",safe_negation,Keep as-is (safe negation).
docs/simclaim_current_data_status_lock.md,24,human audited,"- `human_audited` = false (single-annotator pilot, not dual-human audited)",safe_negation,Keep as-is (safe negation).
docs/simclaim_current_data_status_lock.md,32,human-audited,- **Not** a human-audited benchmark.,safe_negation,Keep as-is (safe negation).
docs/simclaim_current_data_status_lock.md,45,human-audited,"- Missing: human-audited gold, larger test set, strong baselines (BERT/RoBERTa/DeBERTa), OOD validation.",safe_negation,Keep as-is (safe negation).
docs/simclaim_current_data_status_lock.md,58,human-audited,- `human_audited` = **false** (NOT human-audited).,safe_negation,Keep as-is (safe negation).
docs/simclaim_current_data_status_lock.md,74,Human-audited,- Human-audited test set.,safe_negation,Keep as-is (safe negation).
docs/simclaim_current_data_status_lock.md,80,human audited,These labels are **user-confirmed GPT-adjudicated round1 seed labels**. They are final labels for the internal round1 seed set only. They are **not** dual-human audited gold labels. Describe them as:,safe_negation,Keep as-is (safe negation).
docs/simclaim_current_data_status_lock.md,84,human-audited,- human-audited benchmark,safe_negation,Keep as-is (safe negation).
docs/simclaim_current_data_status_lock.md,117,human-audited,- `human_audited` = **false** (NOT human-audited).,safe_negation,Keep as-is (safe negation).
docs/simclaim_current_data_status_lock.md,136,Human-audited,- Human-audited test set.,safe_negation,Keep as-is (safe negation).
docs/simclaim_current_data_status_lock.md,144,human-audited,"These 14 rows are **annotation-ready candidates**. They have **not** been annotated yet. They are **not** final labels, **not** human-audited, **not** gold, **not** paper-valid. The annotation has ...",safe_negation,Keep as-is (safe negation).
docs/simclaim_current_data_status_lock.md,187,human-audited,9. **No relabeling.** round1_seed labels remain user-confirmed GPT-adjudicated; they are not human-audited gold. round2 candidates remain `candidate_unreviewed`; they are not final labels.,safe_negation,Keep as-is (safe negation).
docs/simclaim_current_data_status_lock.md,199,human-audited,"4. Only after `simclaim_eval_v1_core` is human-audited, consider training or evaluation.",safe_negation,Keep as-is (safe negation).
docs/simclaim_current_data_status_lock.md,200,human-audited,5. Do **not** merge `round1_seed` (GPT-adjudicated) with `simclaim_eval_v1_core` (human-audited) without explicit provenance tracking.,safe_negation,Keep as-is (safe negation).
docs/simclaim_eval_v1_data_status.md,6,human-audited,"> diagnostic, `human_audited=False`, **not** gold, **not** human-audited).",safe_negation,Keep as-is (safe negation).
docs/simclaim_eval_v1_data_status.md,26,human-audited,- human-audited: governed by the existing pilot/paper_full ruleset.,legacy_section,Keep in legacy section.
docs/simclaim_eval_v1_data_status.md,53,human-audited,### 3. `simclaim_eval_v1_core` — future human-audited core,legacy_section,Keep in legacy section.
docs/simclaim_eval_v1_data_status.md,56,human-audited,- Role: to be constructed from human-audited source-paired samples.,legacy_section,Keep in legacy section.
docs/simclaim_eval_v1_data_status.md,71,human-audited,- human-audited test set,safe_negation,Keep as-is (safe negation).
docs/simclaim_eval_v1_data_status.md,100,human-audited,"- ""human-audited""",safe_negation,Keep as-is (safe negation).
