script_name,location,category,purpose,input_dependency,output_dependency,safe_to_run,notes
build_v3_4_docx.py,D:\ocn\scripts,current_mainline,Build V3.4 docx from markdown,CESE_OCN_V3_4_taxonomy_hardened.md,CESE_OCN_V3_4_taxonomy_hardened.docx,no,V3.4 docx builder; part of revision chain; output already frozen; do not rerun
build_v3_4_main_paper.py,D:\ocn\scripts,current_mainline,Build V3.4 main paper content,V3.3 sources,V3.4 md content,no,Paper content builder; output already frozen; do not rerun
build_v3_4_taxonomy_hardening.py,D:\ocn\scripts,current_mainline,Build V3.4 taxonomy hardening (decision tree high_risk_sample_bank),V3.3 + audit data,"high_risk_sample_bank.csv trusted_case_bank.csv taxonomy_boundary_decision_tree.md",no,Generated key reference files used by V3.7; output already frozen; do not rerun
build_v3_external_gold_llm_plan_v1.py,D:\ocn\scripts,current_mainline,Build external gold/LLM baseline plan,V3.1 sources,experiments\v3_external_gold_llm_plan_v1\,no,Plan builder; output already frozen; do not rerun
build_paper_ready_mixed_framework_v2.py,D:\ocn\scripts,current_mainline,Build paper-ready result pack for mixed framework v2,R4 frozen results + sweep results,experiments\paper_ready_mixed_framework_v2\,no,Paper-ready pack builder; output already frozen; do not rerun
build_gold_pilot_preparation_v1.py,D:\ocn\scripts,current_mainline,Build gold pilot preparation pack (50 samples),"high_risk_sample_bank.csv trusted_case_bank.csv strict_silver_max_candidates_v1.csv",D:\ocn\gold_pilot_preparation_v1\ (8 files),yes,Gold pilot prep; does not label or train; confirm run will not overwrite manual annotations
run_v3_r4_strong_baselines_holdout_v1.py,D:\ocn\scripts,current_mainline,Run strong baselines + holdout validation,strict_silver data,experiments\v3_r4_strong_baselines_holdout_v1\,no,Mainline experiment; results already frozen; do not rerun
run_llm_judge_baseline_v1.py,D:\ocn\scripts,current_mainline,Run DeepSeek LLM judge baseline (200 samples),llm_baseline_sample_plan.csv,experiments\llm_judge_baseline_v1\,no,Requires DeepSeek API key + user authorization; results already frozen; do not rerun
run_gpt_structured_judge_probe_v1.py,D:\ocn\scripts,current_mainline,Run GPT standard vs structured judge probe (100 samples),SimClaim sample plan,experiments\gpt_structured_judge_probe_v1\,no,Requires GPT API key + user authorization; results already frozen; do not rerun
run_external_gold_scifact_vitaminc_v1.py,D:\ocn\scripts,current_mainline,Run SciFact + VitaminC external gold eval,external_gold data,experiments\external_gold_scifact_vitaminc_v1\,no,Mainline experiment; results already frozen; do not rerun
run_cese_ocn_lite_v3.py,D:\ocn\scripts,current_mainline,Run CESE-OCN lite v3 (R4 router),strict_silver data,experiments\mixed_framework_v2_frozen_r4_baseline\,no,Main R4 runner; results already frozen; do not rerun
run_mixed_framework_router_optimization_v2.py,D:\ocn\scripts,current_mainline,Run router optimization v2,strict_silver data,experiments\mixed_framework_router_optimization_v2\,no,Router optimization; results already frozen; do not rerun
run_mixed_framework_new_algorithm_sweep_v1.py,D:\ocn\scripts,current_mainline,Run new algorithm sweep v1,strict_silver data,experiments\mixed_framework_new_algorithm_sweep_v1\,no,Algorithm sweep; results already frozen; do not rerun
build_v3_1_docx.py,D:\ocn\scripts,historical,Build V3.1 docx from markdown,V3.1 md,V3.1 docx,no,historical only; current paper is V3.7; do not use unless reproducing old versions
build_v3_2_docx.py,D:\ocn\scripts,historical,Build V3.2 docx from markdown,V3.2 md,V3.2 docx,no,historical only; current paper is V3.7; do not use unless reproducing old versions
build_v3_2_table0_and_audit.py,D:\ocn\scripts,historical,Build V3.2 Table 0 and author sanity audit,Silver data,"table_0_taxonomy_examples.csv author_sanity_audit_40.csv",no,historical only; current paper is V3.7; do not use unless reproducing old versions
build_v3_3_docx.py,D:\ocn\scripts,historical,Build V3.3 docx from markdown,V3.3 md,V3.3 docx,no,historical only; current paper is V3.7; do not use unless reproducing old versions
build_v3_3_main_paper.py,D:\ocn\scripts,historical,Build V3.3 main paper content,V3.2 sources,V3.3 md content,no,historical only; current paper is V3.7; do not use unless reproducing old versions
